finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743074092294,1743074092275,1743074092274.0,
1743074092373,1743074092326,1743074092274.0,38
1743074093313,1743074093288,1743074093287.0,
1743074093386,1743074093340,1743074093288.0,37
1743074094318,1743074094298,1743074094297.0,
1743074094401,1743074094350,1743074094296.0,36
1743074095321,1743074095304,1743074095304.0,
1743074095405,1743074095364,1743074095304.0,35
1743074096323,1743074096306,1743074096305.0,
1743074096410,1743074096363,1743074096306.0,34
1743074097339,1743074097322,1743074097322.0,
1743074097425,1743074097380,1743074097322.0,33
1743074098337,1743074098321,1743074098321.0,
1743074098416,1743074098372,1743074098320.0,32
1743074099341,1743074099326,1743074099326.0,
1743074099426,1743074099380,1743074099326.0,31
1743074100350,1743074100331,1743074100330.0,
1743074100438,1743074100390,1743074100330.0,30
1743074101354,1743074101340,1743074101340.0,
1743074101438,1743074101392,1743074101340.0,29
1743074102359,1743074102345,1743074102345.0,
1743074102449,1743074102404,1743074102345.0,28
1743074103352,1743074103339,1743074103339.0,
1743074103450,1743074103394,1743074103339.0,27
1743074104377,1743074104364,1743074104364.0,
1743074104446,1743074104410,1743074104364.0,26
1743074105364,1743074105352,1743074105352.0,
1743074105447,1743074105400,1743074105351.0,25
1743074106383,1743074106370,1743074106370.0,
1743074106457,1743074106417,1743074106369.0,24
1743074107389,1743074107379,1743074107378.0,
1743074107478,1743074107431,1743074107378.0,23
1743074108401,1743074108391,1743074108391.0,
1743074108479,1743074108438,1743074108390.0,22
1743074109391,1743074109382,1743074109382.0,
1743074109459,1743074109425,1743074109381.0,21
1743074110416,1743074110407,1743074110407.0,
1743074110488,1743074110454,1743074110406.0,20
1743074111417,1743074111409,1743074111409.0,
1743074111503,1743074111457,1743074111409.0,19
1743074112427,1743074112420,1743074112419.0,
1743074112586,1743074112549,1743074112419.0,20
1743074113462,1743074113455,1743074113454.0,
1743074113561,1743074113528,1743074113455.0,21
1743074114451,1743074114443,1743074114442.0,
1743074114537,1743074114496,1743074114443.0,22
1743074115459,1743074115439,1743074115439.0,
1743074115524,1743074115487,1743074115440.0,23
1743074116475,1743074116467,1743074116467.0,
1743074116562,1743074116519,1743074116467.0,24
1743074117472,1743074117464,1743074117464.0,
1743074117557,1743074117520,1743074117464.0,25
1743074118465,1743074118458,1743074118458.0,
1743074118557,1743074118520,1743074118457.0,26
1743074119480,1743074119472,1743074119472.0,
1743074119567,1743074119531,1743074119472.0,27
1743074120490,1743074120483,1743074120483.0,
1743074120569,1743074120537,1743074120482.0,28
1743074121499,1743074121492,1743074121491.0,
