finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743013556911,1743009414428,1743013556844.0,25
1743013557932,1743009415446,1743013557853.0,26
1743013558964,1743009416472,1743013558878.0,27
1743013559968,1743009417485,1743013559896.0,28
1743013560987,1743009418491,1743013560896.0,29
1743013561984,1743009419497,1743013561903.0,30
1743013562996,1743009420504,1743013562913.0,31
1743013563983,1743009421487,1743013563896.0,32
1743013564997,1743009422514,1743013564926.0,33
1743013566019,1743009423523,1743013565934.0,34
1743013567010,1743009424518,1743013566922.0,35
1743013568026,1743009425539,1743013567948.0,36
1743013569023,1743009426537,1743013568948.0,37
1743013570019,1743009427537,1743013569951.0,38
1743013571047,1743009428555,1743013570960.0,39
1743013572066,1743009429571,1743013571975.0,40
1743013573068,1743009430584,1743013572987.0,41
1743013574058,1743009431574,1743013573982.0,42
1743013575067,1743009432583,1743013574995.0,43
1743013576067,1743009433584,1743013575996.0,44
1743013577083,1743009434590,1743013577000.0,45
1743013578105,1743009435617,1743013578018.0,46
1743013579105,1743009436616,1743013579019.0,47
1743013580112,1743009437627,1743013580041.0,48
1743013581113,1743009438624,1743013581035.0,49
1743013582135,1743009439641,1743013582045.0,50
1743013583137,1743009440648,1743013583056.0,51
1743013584146,1743009441659,1743013584057.0,52
1743013585139,1743009442658,1743013585063.0,53
1743013586146,1743009443650,1743013586060.0,54
1743013587121,1743009444638,1743013587044.0,55
1743013588167,1743009445671,1743013588075.0,56
1743013589146,1743009446661,1743013589069.0,57
1743013590164,1743009447681,1743013590095.0,58
1743013591176,1743009448686,1743013591097.0,59
1743013592191,1743009449698,1743013592098.0,60
1743013593167,1743009450683,1743013593095.0,61
1743013594197,1743009451716,1743013594132.0,62
1743013595182,1743009452698,1743013595109.0,63
1743013596199,1743009453705,1743013596119.0,64
1743013597190,1743009454706,1743013597114.0,65
1743013598212,1743009455725,1743013598139.0,66
1743013599201,1743009456714,1743013599122.0,67
